test_id,reference_int,reference_hex,hw_hex,hw_int,abs_error_int,rel_error,squared_error,exact_match
9214,38,0026,0026,38,0,0.0,0,1
9215,79,004F,004F,79,0,0.0,0,1
9216,-125,FF83,FF83,-125,0,0.0,0,1
9217,30,001E,001E,30,0,0.0,0,1
9218,-110,FF92,FF92,-110,0,0.0,0,1
9219,141,008D,008D,141,0,0.0,0,1
9220,-50,FFCE,FFCE,-50,0,0.0,0,1
9221,10,000A,000A,10,0,0.0,0,1
9222,-70,FFBA,FFBA,-70,0,0.0,0,1
9223,7,0007,0007,7,0,0.0,0,1
9224,128,0080,0080,128,0,0.0,0,1
9225,-111,FF91,FF91,-111,0,0.0,0,1
9226,54,0036,0036,54,0,0.0,0,1
9227,23,0017,0017,23,0,0.0,0,1
9228,160,00A0,00A0,160,0,0.0,0,1
9229,-102,FF9A,FF9A,-102,0,0.0,0,1
9230,187,00BB,00BB,187,0,0.0,0,1
9231,-128,FF80,FF80,-128,0,0.0,0,1
9232,-16,FFF0,FFF0,-16,0,0.0,0,1
9233,32,0020,0020,32,0,0.0,0,1
9234,47,002F,002F,47,0,0.0,0,1
9235,33,0021,0021,33,0,0.0,0,1
9236,89,0059,0059,89,0,0.0,0,1
9237,-101,FF9B,FF9B,-101,0,0.0,0,1
9238,-33,FFDF,FFDF,-33,0,0.0,0,1
9239,116,0074,0074,116,0,0.0,0,1
9240,-60,FFC4,FFC4,-60,0,0.0,0,1
9241,-74,FFB6,FFB6,-74,0,0.0,0,1
9242,53,0035,0035,53,0,0.0,0,1
9243,-18,FFEE,FFEE,-18,0,0.0,0,1
9244,-10,FFF6,FFF6,-10,0,0.0,0,1
9245,-150,FF6A,FF6A,-150,0,0.0,0,1
9246,-28,FFE4,FFE4,-28,0,0.0,0,1
9247,4,0004,0004,4,0,0.0,0,1
9248,62,003E,003E,62,0,0.0,0,1
9249,61,003D,003D,61,0,0.0,0,1
9250,88,0058,0058,88,0,0.0,0,1
9251,17,0011,0011,17,0,0.0,0,1
9252,94,005E,005E,94,0,0.0,0,1
9253,-17,FFEF,FFEF,-17,0,0.0,0,1
9254,69,0045,0045,69,0,0.0,0,1
9255,-142,FF72,FF72,-142,0,0.0,0,1
9256,-26,FFE6,FFE6,-26,0,0.0,0,1
9257,37,0025,0025,37,0,0.0,0,1
9258,-21,FFEB,FFEB,-21,0,0.0,0,1
9259,90,005A,005A,90,0,0.0,0,1
9260,272,0110,0110,272,0,0.0,0,1
9261,76,004C,004C,76,0,0.0,0,1
9262,73,0049,0049,73,0,0.0,0,1
9263,208,00D0,00D0,208,0,0.0,0,1
9264,117,0075,0075,117,0,0.0,0,1
9265,19,0013,0013,19,0,0.0,0,1
9266,108,006C,006C,108,0,0.0,0,1
9267,-82,FFAE,FFAE,-82,0,0.0,0,1
9268,-60,FFC4,FFC4,-60,0,0.0,0,1
9269,113,0071,0071,113,0,0.0,0,1
9270,-73,FFB7,FFB7,-73,0,0.0,0,1
9271,101,0065,0065,101,0,0.0,0,1
9272,-130,FF7E,FF7E,-130,0,0.0,0,1
9273,-24,FFE8,FFE8,-24,0,0.0,0,1
9274,-84,FFAC,FFAC,-84,0,0.0,0,1
9275,-135,FF79,FF79,-135,0,0.0,0,1
9276,133,0085,0085,133,0,0.0,0,1
9277,-71,FFB9,FFB9,-71,0,0.0,0,1
9278,-53,FFCB,FFCB,-53,0,0.0,0,1
9279,113,0071,0071,113,0,0.0,0,1
9280,-80,FFB0,FFB0,-80,0,0.0,0,1
9281,-54,FFCA,FFCA,-54,0,0.0,0,1
9282,-40,FFD8,FFD8,-40,0,0.0,0,1
9283,-214,FF2A,FF2A,-214,0,0.0,0,1
9284,151,0097,0097,151,0,0.0,0,1
9285,-116,FF8C,FF8C,-116,0,0.0,0,1
9286,-134,FF7A,FF7A,-134,0,0.0,0,1
9287,-88,FFA8,FFA8,-88,0,0.0,0,1
9288,-102,FF9A,FF9A,-102,0,0.0,0,1
9289,-45,FFD3,FFD3,-45,0,0.0,0,1
9290,-86,FFAA,FFAA,-86,0,0.0,0,1
9291,114,0072,0072,114,0,0.0,0,1
9292,72,0048,0048,72,0,0.0,0,1
9293,-125,FF83,FF83,-125,0,0.0,0,1
9294,-221,FF23,FF23,-221,0,0.0,0,1
9295,16,0010,0010,16,0,0.0,0,1
9296,-2,FFFE,FFFE,-2,0,0.0,0,1
9297,30,001E,001E,30,0,0.0,0,1
9298,-141,FF73,FF73,-141,0,0.0,0,1
9299,-23,FFE9,FFE9,-23,0,0.0,0,1
9300,-23,FFE9,FFE9,-23,0,0.0,0,1
9301,-243,FF0D,FF0D,-243,0,0.0,0,1
9302,-86,FFAA,FFAA,-86,0,0.0,0,1
9303,0,0000,0000,0,0,0.0,0,1
9304,28,001C,001C,28,0,0.0,0,1
9305,66,0042,0042,66,0,0.0,0,1
9306,159,009F,009F,159,0,0.0,0,1
9307,71,0047,0047,71,0,0.0,0,1
9308,-22,FFEA,FFEA,-22,0,0.0,0,1
9309,20,0014,0014,20,0,0.0,0,1
9310,-59,FFC5,FFC5,-59,0,0.0,0,1
9311,-94,FFA2,FFA2,-94,0,0.0,0,1
9312,21,0015,0015,21,0,0.0,0,1
9313,76,004C,004C,76,0,0.0,0,1
9314,169,00A9,00A9,169,0,0.0,0,1
9315,-21,FFEB,FFEB,-21,0,0.0,0,1
9316,-3,FFFD,FFFD,-3,0,0.0,0,1
9317,54,0036,0036,54,0,0.0,0,1
9318,-78,FFB2,FFB2,-78,0,0.0,0,1
9319,-29,FFE3,FFE3,-29,0,0.0,0,1
9320,78,004E,004E,78,0,0.0,0,1
9321,2,0002,0002,2,0,0.0,0,1
9322,137,0089,0089,137,0,0.0,0,1
9323,97,0061,0061,97,0,0.0,0,1
9324,-116,FF8C,FF8C,-116,0,0.0,0,1
9325,-124,FF84,FF84,-124,0,0.0,0,1
9326,45,002D,002D,45,0,0.0,0,1
9327,21,0015,0015,21,0,0.0,0,1
9328,-59,FFC5,FFC5,-59,0,0.0,0,1
9329,46,002E,002E,46,0,0.0,0,1
9330,109,006D,006D,109,0,0.0,0,1
9331,9,0009,0009,9,0,0.0,0,1
9332,45,002D,002D,45,0,0.0,0,1
9333,12,000C,000C,12,0,0.0,0,1
9334,-73,FFB7,FFB7,-73,0,0.0,0,1
