fault_id,format,target_id,target_name,vector_id,bit_id,fault_type
545,FP16,0,R,34,1,bflip
546,FP16,0,R,34,2,bflip
547,FP16,0,R,34,3,bflip
548,FP16,0,R,34,4,bflip
549,FP16,0,R,34,5,bflip
550,FP16,0,R,34,6,bflip
551,FP16,0,R,34,7,bflip
552,FP16,0,R,34,8,bflip
553,FP16,0,R,34,9,bflip
554,FP16,0,R,34,10,bflip
555,FP16,0,R,34,11,bflip
556,FP16,0,R,34,12,bflip
557,FP16,0,R,34,13,bflip
558,FP16,0,R,34,14,bflip
559,FP16,0,R,34,15,bflip
560,FP16,0,R,35,0,bflip
561,FP16,0,R,35,1,bflip
562,FP16,0,R,35,2,bflip
563,FP16,0,R,35,3,bflip
564,FP16,0,R,35,4,bflip
565,FP16,0,R,35,5,bflip
566,FP16,0,R,35,6,bflip
567,FP16,0,R,35,7,bflip
568,FP16,0,R,35,8,bflip
569,FP16,0,R,35,9,bflip
570,FP16,0,R,35,10,bflip
571,FP16,0,R,35,11,bflip
572,FP16,0,R,35,12,bflip
573,FP16,0,R,35,13,bflip
574,FP16,0,R,35,14,bflip
575,FP16,0,R,35,15,bflip
576,FP16,0,R,36,0,bflip
577,FP16,0,R,36,1,bflip
578,FP16,0,R,36,2,bflip
579,FP16,0,R,36,3,bflip
580,FP16,0,R,36,4,bflip
581,FP16,0,R,36,5,bflip
582,FP16,0,R,36,6,bflip
583,FP16,0,R,36,7,bflip
584,FP16,0,R,36,8,bflip
585,FP16,0,R,36,9,bflip
586,FP16,0,R,36,10,bflip
587,FP16,0,R,36,11,bflip
588,FP16,0,R,36,12,bflip
589,FP16,0,R,36,13,bflip
590,FP16,0,R,36,14,bflip
591,FP16,0,R,36,15,bflip
592,FP16,0,R,37,0,bflip
593,FP16,0,R,37,1,bflip
594,FP16,0,R,37,2,bflip
595,FP16,0,R,37,3,bflip
596,FP16,0,R,37,4,bflip
597,FP16,0,R,37,5,bflip
598,FP16,0,R,37,6,bflip
599,FP16,0,R,37,7,bflip
600,FP16,0,R,37,8,bflip
601,FP16,0,R,37,9,bflip
602,FP16,0,R,37,10,bflip
603,FP16,0,R,37,11,bflip
604,FP16,0,R,37,12,bflip
605,FP16,0,R,37,13,bflip
606,FP16,0,R,37,14,bflip
607,FP16,0,R,37,15,bflip
608,FP16,0,R,38,0,bflip
609,FP16,0,R,38,1,bflip
610,FP16,0,R,38,2,bflip
611,FP16,0,R,38,3,bflip
612,FP16,0,R,38,4,bflip
613,FP16,0,R,38,5,bflip
614,FP16,0,R,38,6,bflip
615,FP16,0,R,38,7,bflip
616,FP16,0,R,38,8,bflip
617,FP16,0,R,38,9,bflip
618,FP16,0,R,38,10,bflip
619,FP16,0,R,38,11,bflip
620,FP16,0,R,38,12,bflip
621,FP16,0,R,38,13,bflip
622,FP16,0,R,38,14,bflip
623,FP16,0,R,38,15,bflip
624,FP16,0,R,39,0,bflip
625,FP16,0,R,39,1,bflip
626,FP16,0,R,39,2,bflip
627,FP16,0,R,39,3,bflip
628,FP16,0,R,39,4,bflip
629,FP16,0,R,39,5,bflip
630,FP16,0,R,39,6,bflip
631,FP16,0,R,39,7,bflip
632,FP16,0,R,39,8,bflip
633,FP16,0,R,39,9,bflip
634,FP16,0,R,39,10,bflip
635,FP16,0,R,39,11,bflip
636,FP16,0,R,39,12,bflip
637,FP16,0,R,39,13,bflip
638,FP16,0,R,39,14,bflip
639,FP16,0,R,39,15,bflip
640,FP16,0,R,40,0,bflip
641,FP16,0,R,40,1,bflip
642,FP16,0,R,40,2,bflip
643,FP16,0,R,40,3,bflip
644,FP16,0,R,40,4,bflip
645,FP16,0,R,40,5,bflip
646,FP16,0,R,40,6,bflip
647,FP16,0,R,40,7,bflip
648,FP16,0,R,40,8,bflip
649,FP16,0,R,40,9,bflip
650,FP16,0,R,40,10,bflip
651,FP16,0,R,40,11,bflip
652,FP16,0,R,40,12,bflip
653,FP16,0,R,40,13,bflip
654,FP16,0,R,40,14,bflip
655,FP16,0,R,40,15,bflip
656,FP16,0,R,41,0,bflip
657,FP16,0,R,41,1,bflip
658,FP16,0,R,41,2,bflip
659,FP16,0,R,41,3,bflip
660,FP16,0,R,41,4,bflip
661,FP16,0,R,41,5,bflip
662,FP16,0,R,41,6,bflip
663,FP16,0,R,41,7,bflip
664,FP16,0,R,41,8,bflip
665,FP16,0,R,41,9,bflip
666,FP16,0,R,41,10,bflip
667,FP16,0,R,41,11,bflip
668,FP16,0,R,41,12,bflip
669,FP16,0,R,41,13,bflip
670,FP16,0,R,41,14,bflip
671,FP16,0,R,41,15,bflip
672,FP16,0,R,42,0,bflip
673,FP16,0,R,42,1,bflip
674,FP16,0,R,42,2,bflip
675,FP16,0,R,42,3,bflip
676,FP16,0,R,42,4,bflip
677,FP16,0,R,42,5,bflip
678,FP16,0,R,42,6,bflip
679,FP16,0,R,42,7,bflip
680,FP16,0,R,42,8,bflip
681,FP16,0,R,42,9,bflip
682,FP16,0,R,42,10,bflip
683,FP16,0,R,42,11,bflip
684,FP16,0,R,42,12,bflip
